Term,Occurrence,Word count
reasoning,1,1
way,1,1
need,1,1
insufficiency,1,1
discussion,1,1
pursuance,1,1
despatch,1,1
utility,1,1
manner,1,1
compendious,1,1
progress,1,1
obstacles,1,1
pageants,1,1
value,1,1
non-observance,1,1
structure,1,1
CORPORATE,1,1
GOVERNMENTS,1,1
STATES,1,1
LEGISLATION,1,1
construction,1,1
vice,1,1
fabric,1,1
pillars,1,1
alteration,1,1
building,1,1
errors,1,1
INDIVIDUALS,1,1
imperfections,1,1
minute,1,1
evils,1,1
show,1,1
display,1,1
imperio,1,1
imperium,1,1
monster,1,1
devotion,1,1
independence,1,1
contradistinguished,1,1
efficacy,1,1
augmentation,1,1
mind,1,1
vicissitudes,1,1
Compacts,1,1
parties,1,1
circumstance,1,1
details,1,1
purposes,1,1
GOVERNMENT,1,1
bane,1,1
object,1,1
admonitions,1,1
capriciousness,1,1
rest,1,1
instance,1,1
option,1,1
disregard,1,1
recommendations,1,1
practice,1,1
binding,1,1
theory,1,1
consequence,1,1
appointment,1,1
papers,1,1
diminution,1,1
supply,1,1
symptom,1,1
limits,1,1
insignificance,1,1
poverty,1,1
disorder,1,1
indication,1,1
instruction,1,1
pleasure,1,1
particulars,1,1
enumeration,1,1
scarcity,1,1
insecurity,1,1
lending,1,1
advantages,1,1
borrowing,1,1
industry,1,1
patron,1,1
friend,1,1
ranks,1,1
confidence,1,1
market,1,1
parts,1,1
price,1,1
distress,1,1
community,1,1
form,1,1
success,1,1
charm,1,1
chance,1,1
remedy,1,1
opposition,1,1
adversaries,1,1
concession,1,1
usefulness,1,1
assent,1,1
prosperity,1,1
felicity,1,1
paths,1,1
tranquillity,1,1
catalogue,1,1
firm,1,1
motive,1,1
countrymen,1,1
abyss,1,1
plunge,1,1
precipice,1,1
brink,1,1
content,1,1
maxims,1,1
misfortunes,1,1
PUBLIUS,1,1
